Stage,Date & Time (US EDT/UTC-4),Team 1,Team 2,Match #,Location
Group A,"Thursday, June 11, at 3:00 PM",Mexico,South Africa,1,"Estadio Azteca, Mexico City"
Group A,"Thursday, June 11, at 10:00 PM",South Korea,UEFA D,2,"Estadio Akron, Zapopan"
Group B,"Friday, June 12, at 3:00 PM",Canada,UEFA A,3,"BMO Field, Toronto"
Group D,"Friday, June 12, at 9:00 PM",United States,Paraguay,4,"SoFi Stadium, Inglewood"
Group B,"Saturday, June 13, at 3:00 PM",Qatar,Switzerland,8,"Levi's Stadium, Santa Clara"
Group C,"Saturday, June 13, at 6:00 PM",Brazil,Morocco,7,"MetLife Stadium, East Rutherford"
Group C,"Saturday, June 13, at 9:00 PM",Haiti,Scotland,5,"Gillette Stadium, Foxborough"
Group D,"Saturday, June 13, at 11:59 PM",Australia,UEFA C,6,"BC Place, Vancouver"
Group E,"Sunday, June 14, at 1:00 PM",Germany,Curacao,10,"NRG Stadium, Houston"
Group F,"Sunday, June 14, at 4:00 PM",Netherlands,Japan,11,"AT&T Stadium, Arlington"
Group E,"Sunday, June 14, at 7:00 PM",Ivory Coast,Ecuador,9,"Lincoln Financial Field, Philadelphia"
Group F,"Sunday, June 14, at 10:00 PM",UEFA B,Tunisia,12,"Estadio BBVA, Guadalupe"
Group H,"Monday, June 15, at 12:00 PM",Spain,Cape Verde,14,"Mercedes-Benz Stadium, Atlanta"
Group G,"Monday, June 15, at 3:00 PM",Belgium,Egypt,16,"Lumen Field, Seattle"
Group H,"Monday, June 15, at 6:00 PM",Saudi Arabia,Uruguay,13,"Hard Rock Stadium, Miami Gardens"
Group G,"Monday, June 15, at 9:00 PM",Iran,New Zealand,15,"SoFi Stadium, Inglewood"
Group I,"Tuesday, June 16, at 3:00 PM",France,Senegal,17,"MetLife Stadium, East Rutherford"
Group I,"Tuesday, June 16, at 6:00 PM",FIFA 2,Norway,18,"Gillette Stadium, Foxborough"
Group J,"Tuesday, June 16, at 9:00 PM",Argentina,Algeria,19,"Arrowhead Stadium, Kansas City"
Group J,"Tuesday, June 16, at 11:59 PM",Austria,Jordan,20,"Levi's Stadium, Santa Clara"
Group K,"Wednesday, June 17, at 1:00 PM",Portugal,FIFA 1,23,"NRG Stadium, Houston"
Group L,"Wednesday, June 17, at 4:00 PM",England,Croatia,21,"AT&T Stadium, Arlington"
Group L,"Wednesday, June 17, at 7:00 PM",Ghana,Panama,22,"BMO Field, Toronto"
Group K,"Wednesday, June 17, at 10:00 PM",Uzbekistan,Colombia,24,"Estadio Azteca, Mexico City"
Group A,"Thursday, June 18, at 12:00 PM",UEFA D,South Africa,25,"Mercedes-Benz Stadium, Atlanta"
Group B,"Thursday, June 18, at 3:00 PM",Switzerland,UEFA A,26,"SoFi Stadium, Inglewood"
Group B,"Thursday, June 18, at 6:00 PM",Canada,Qatar,27,"BC Place, Vancouver"
Group A,"Thursday, June 18, at 9:00 PM",Mexico,South Korea,28,"Estadio Akron, Zapopan"
Group D,"Friday, June 19, at 3:00 PM",United States,Australia,32,"Lumen Field, Seattle"
Group C,"Friday, June 19, at 6:00 PM",Scotland,Morocco,30,"Gillette Stadium, Foxborough"
Group C,"Friday, June 19, at 9:00 PM",Brazil,Haiti,29,"Lincoln Financial Field, Philadelphia"
Group D,"Friday, June 19, at 11:59 PM",UEFA C,Paraguay,31,"Levi's Stadium, Santa Clara"
Group F,"Saturday, June 20, at 1:00 PM",Netherlands,UEFA B,35,"NRG Stadium, Houston"
Group E,"Saturday, June 20, at 4:00 PM",Germany,Ivory Coast,33,"BMO Field, Toronto"
Group E,"Saturday, June 20, at 8:00 PM",Ecuador,Curacao,34,"Arrowhead Stadium, Kansas City"
Group F,"Saturday, June 20, at 11:59 PM",Tunisia,Japan,36,"Estadio BBVA, Guadalupe"
Group H,"Sunday, June 21, at 12:00 PM",Spain,Saudi Arabia,38,"Mercedes-Benz Stadium, Atlanta"
Group G,"Sunday, June 21, at 3:00 PM",Belgium,Iran,39,"Sofi Stadium, Inglewood"
Group H,"Sunday, June 21, at 6:00 PM",Uruguay,Cape Verde,37,"Hard Rock Stadium, Miami Gardens"
Group G,"Sunday, June 21, at 9:00 PM",New Zealand,Egypt,40,"BC Place, Vancouver"
Group J,"Monday, June 22, at 1:00 PM",Argentina,Austria,43,"AT&T Stadium, Arlington"
Group I,"Monday, June 22, at 5:00 PM",France,FIFA 2,42,"Lincoln Financial Field, Philadelphia"
Group I,"Monday, June 22, at 8:00 PM",Norway,Senegal,41,"MetLife Stadium, East Rutherford"
Group J,"Monday, June 22, at 11:00 PM",Jordan,Algeria,44,"Levi's Stadium, Santa Clara"
Group K,"Tuesday, June 23, at 1:00 PM",Portugal,Uzbekistan,47,"NRG Stadium, Houston"
Group L,"Tuesday, June 23, at 4:00 PM",England,Ghana,45,"Gillette Stadium, Foxborough"
Group L,"Tuesday, June 23, at 7:00 PM",Panama,Croatia,46,"BMO Field, Toronto"
Group K,"Tuesday, June 23, at 10:00 PM",Colombia,FIFA 1,48,"Estadio Akron, Zapopan"
Group B,"Wednesday, June 24, at 3:00 PM",Switzerland,Canada,51,"BC Place, Vancouver"
Group B,"Wednesday, June 24, at 3:00 PM",UEFA A,Qatar,52,"Lumen Field, Seattle"
Group C,"Wednesday, June 24, at 6:00 PM",Scotland,Brazil,49,"Hard Rock Stadium, Miami Gardens"
Group C,"Wednesday, June 24, at 6:00 PM",Morocco,Haiti,50,"Mercedes-Benz Stadium, Atlanta"
Group A,"Wednesday, June 24, at 9:00 PM",UEFA D,Mexico,53,"Estadio Azteca, Mexico City"
Group A,"Wednesday, June 24, at 9:00 PM",South Africa,South Korea,54,"Estadio BBVA, Guadalupe"
Group E,"Thursday, June 25, at 4:00 PM",Curacao,Ivory Coast,55,"Lincoln Financial Field, Philadelphia"
Group E,"Thursday, June 25, at 4:00 PM",Ecuador,Germany,56,"MetLife Stadium, East Rutherford"
Group F,"Thursday, June 25, at 7:00 PM",Japan,UEFA B,57,"AT&T Stadium, Arlington"
Group F,"Thursday, June 25, at 7:00 PM",Tunisia,Netherlands,58,"Arrowhead Stadium, Kansas City"
Group D,"Thursday, June 25, at 10:00 PM",UEFA C,United States,59,"SoFi Stadium, Inglewood"
Group D,"Thursday, June 25, at 10:00 PM",Paraguay,Australia,60,"Levi's Stadium, Santa Clara"
Group I,"Friday, June 26, at 3:00 PM",Norway,France,61,"Gillette Stadium, Foxborough"
Group I,"Friday, June 26, at 3:00 PM",Senegal,FIFA 2,62,"BMO Field, Toronto"
Group H,"Friday, June 26, at 8:00 PM",Cape Verde,Saudi Arabia,65,"NRG Stadium, Houston"
Group H,"Friday, June 26, at 8:00 PM",Uruguay,Spain,66,"Estadio Akron, Zapopan"
Group G,"Friday, June 26, at 11:00 PM",Egypt,Iran,63,"Lumen Field, Seattle"
Group G,"Friday, June 26, at 11:00 PM",New Zealand,Belgium,64,"BC Place, Vancouver"
Group L,"Saturday, June 27, at 5:00 PM",Panama,England,67,"MetLife Stadium, East Rutherford"
Group L,"Saturday, June 27, at 5:00 PM",Croatia,Ghana,68,"Lincoln Financial Field, Philadelphia"
Group K,"Saturday, June 27, at 7:30 PM",Colombia,Portugal,71,"Hard Rock Stadium, Miami Gardens"
Group K,"Saturday, June 27, at 7:30 PM",FIFA 1,Uzbekistan,72,"Mercedes-Benz Stadium, Atlanta"
Group J,"Saturday, June 27, at 10:00 PM",Algeria,Austria,69,"Arrowhead Stadium, Kansas City"
Group J,"Saturday, June 27, at 10:00 PM",Jordan,Argentina,70,"AT&T Stadium, Arlington"
Round of 32,"Sunday, June 28, at 3:00 PM",2A,2B,73,"Sofi Stadium, Inglewood"
Round of 32,"Monday, June 29, at 1:00 PM",1C,2F,76,"NRG Stadium, Houston"
Round of 32,"Monday, June 29, at 4:30 PM",1E,3ABCDF,74,"Gillette Stadium, Foxborough"
Round of 32,"Monday, June 29, at 9:00 PM",1F,2C,75,"Estadio BBVA, Guadalupe"
Round of 32,"Tuesday, June 30, at 2:00 PM",2E,2I,78,"AT&T Stadium, Arlington"
Round of 32,"Tuesday, June 30, at 5:00 PM",1I,3CDFGH,77,"MetLife Stadium, East Rutherford"
Round of 32,"Tuesday, June 30, at 9:00 PM",1A,3CEFHI,79,"Estadio Azteca, Mexico City"
Round of 32,"Wednesday, July 1, at 12:00 PM",1L,3EHIJK,80,"Mercedes-Benz Stadium, Atlanta"
Round of 32,"Wednesday, July 1, at 4:00 PM",1G,3AEHIJ,82,"Lumen Field, Seattle"
Round of 32,"Wednesday, July 1, at 8:00 PM",1D,3BEFIJ,81,"Levi's Stadium, Santa Clara"
Round of 32,"Thursday, July 2, at 3:00 PM",1H,2J,84,"Sofi Stadium, Inglewood"
Round of 32,"Thursday, July 2, at 7:00 PM",2K,2L,83,"BMO Field, Toronto"
Round of 32,"Thursday, July 2, at 11:00 PM",2B,3EFGIJ,85,"BC Place, Vancouver"
Round of 32,"Friday, July 3, at 2:00 PM",2D,2G,88,"AT&T Stadium, Arlington"
Round of 32,"Friday, July 3, at 6:00 PM",1J,2H,86,"Hard Rock Stadium, Miami Gardens"
Round of 32,"Friday, July 3, at 9:30 PM",1K,3DEIJL,87,"Arrowhead Stadium, Kansas City"
Round of 16,"Saturday, July 4, at 1:00 PM",W73,W75,90,"NRG Stadium, Houston"
